                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                 1.1277,                0.79846,                 1.2274,                 0.8153,                0.81316,                0.83175,                0.37936,                 1.8042,                0.98103,                 1.9753,              0.0008996,              0.0008996,              0.0008996
                     96,                 1.1351,                0.78877,                 1.2468,                0.80924,                0.83364,                0.83379,                0.37856,                 1.8545,                0.95273,                 1.9985,             0.00089134,             0.00089134,             0.00089134
                     97,                 1.1058,                 0.8134,                 1.2438,                0.78157,                0.75411,                0.77628,                0.36434,                 1.8994,                0.97005,                 2.0744,             0.00088309,             0.00088309,             0.00088309
                     98,                 1.1273,                0.81038,                 1.2589,                0.73617,                0.84785,                0.83637,                0.38782,                  1.883,                 0.9214,                 2.0873,             0.00087484,             0.00087484,             0.00087484
                     99,                 1.0935,                0.80142,                 1.2266,                0.79924,                0.75462,                0.80515,                0.38422,                 1.8893,                 1.0004,                 2.0506,             0.00086659,             0.00086659,             0.00086659
                    100,                 1.1241,                0.77205,                  1.243,                 0.8013,                0.81588,                0.85058,                0.38828,                 1.8865,                0.98344,                 2.1132,             0.00085834,             0.00085834,             0.00085834
                    101,                 1.0802,                0.72694,                  1.202,                0.82083,                0.79786,                0.83056,                0.39518,                 1.8362,                0.92602,                 2.0655,             0.00085009,             0.00085009,             0.00085009
                    102,                 1.1314,                0.77631,                 1.2277,                0.87742,                0.76437,                0.82478,                0.38451,                 1.9204,                0.88275,                 2.1551,             0.00084184,             0.00084184,             0.00084184
                    103,                 1.0715,                 0.7443,                 1.2096,                0.85336,                0.81538,                0.82932,                0.38234,                 1.8917,                0.94781,                 2.1736,             0.00083358,             0.00083358,             0.00083358
                    104,                  1.133,                0.76485,                 1.2409,                0.79724,                 0.8389,                0.84631,                0.37275,                 1.9214,                0.93283,                 2.1969,             0.00082533,             0.00082533,             0.00082533
                    105,                 1.0752,                 0.7737,                 1.2229,                0.83241,                0.82237,                0.79535,                0.35381,                 2.0135,                 1.0136,                  2.244,             0.00081708,             0.00081708,             0.00081708
                    106,                  1.111,                0.75303,                 1.2338,                0.79225,                0.79063,                0.77111,                0.35515,                 1.9429,                 1.0212,                 2.1893,             0.00080883,             0.00080883,             0.00080883
                    107,                 1.1076,                 0.7623,                 1.2102,                0.77956,                0.78034,                0.78411,                0.36114,                 1.9382,                0.95883,                 2.1469,             0.00080058,             0.00080058,             0.00080058
                    108,                 1.0524,                 0.7117,                 1.1697,                0.77868,                0.78425,                0.79018,                0.37947,                 1.8706,                0.90115,                 2.1073,             0.00079233,             0.00079233,             0.00079233
                    109,                 1.0678,                0.73198,                 1.2076,                0.80069,                0.78675,                0.80484,                 0.3834,                 1.8804,                 0.9233,                 2.1277,             0.00078407,             0.00078407,             0.00078407
